"Title","Author","File_Format","APA_Citation","Link","Year","Description","Association","Link_Owner","Tags"
"EPA Rapid Bioassessment Protocols for use in Streams and Wadeable Rivers","MT Barbour","pdf","Barbour, M. T. (2001). Rapid Bioassessment Protocols for Use in Steams and Wadeable Rivers: Periphyton. Benthic Macroinvertebrates and Fish.","https:\/\/archive.epa.gov\/water\/archive\/web\/html\/index-14.html",1999,"The Rapid Bioassessment Protocols (RBPs) are essentially a synthesis of existing methods that have been employed by various State Water Resource Agencies (e.g., Ohio Environmental Protection Agency [EPA], Florida Department of Environmental Protection [DEP], Delaware Department of Natural Resources and Environmental Control [DNREC], Massachusetts DEP, Kentucky DEP, and Montana Department of Environmental Quality [DEQ]). Protocols for 3 aquatic assemblages (i.e., periphyton, benthic macroinvertebrates, fish) and habitat assessment are presented. All of these protocols have been tested in streams in various parts of the country.","EPA","epa.gov","Documents_Knowledge Base_Physico chemical,Documents_Knowledge Base_Biological Ecology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology"
"Estimation of roughness coefficients for natural stream channels with vegetated banks","WF Coon","pdf","Coon, W. F. (1998). Estimation of roughness coefficients for natural stream channels with vegetated banks (Vol. 2441). US Geological Survey.","https:\/\/pubs.er.usgs.gov\/publication\/wsp2441",1998,"Roughness coefficients for 21 stream sites in New York state are presented. The site-specific relation between roughness coefficent and flow depth varies in a predictable manner, depending on energy gradient, relative smoothness (Rd50), and channel-vegetation density. The percentage of wetted perimeter that is vegetated is a useful indicator of when streambank vegetation can affect the roughness coefficient. To estimate the magnitude of this effect requires evaluation of the density and percent of submergence of vegetation.","USGS","pubs.usgs.gov","Documents_Knowledge Base_Hydraulics,Documents_Evaluation_Hydraulics"
"Fluvial Processes in Geomorphology","LB Leopold, MG Wolman, JP Miller, EE Wohl","book","Leopold, L. B., Wolman, M. G., Miller, J. P., & Wohl, E. E. (2020). Fluvial processes in geomorphology. Courier Dover Publications.","https:\/\/books.google.com\/books?hl=en&lr=&id=vnb2DwAAQBAJ&oi=fnd&pg=PA3&dq=Leopold,+Luna+B.,+et+al.+Fluvial+processes+in+geomorphology.+Courier+Dover+Publications,+2020.&ots=zmWOXEvn48&sig=oMiMrHgFiKRNsaI1Mqd5Zy9p-is",2020,"Its primary emphasis is on subjects that were the focus of the authors' studies in both field and laboratory. Part I deals with the process of change in the evolving landscape. Part II explores process and form, and Part III, the effects of time. In Part I, the relation of geomorphology to field problems is analyzed in studies of a mountain block in a semiarid climate, a meandering river cut into bedrock, and benches along a sea coast. Part Two contains studies of weathering, climate, and such denudational processes as flooding and erosion.","Courier Dover","books.google.com","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry"
"Fluvial Processes in River Engineering","HH Chang","book","Chang, H. H. (1992). Fluvial processes in river engineering.","https:\/\/trid.trb.org\/view\/387444",1992,"This text collects and collates the significant advances in analytical methods for alluvial channel design, river morphology, and mathematical simulation of river channel changes. It presents a complete analytical treatment of river morphology and its responses to environmental and human-made changes from the engineering point of view. For professionals in flood control, bridge design, irrigation and waterways, this book is a current, comprehensive refresher and reference.","National Academies","trid.trb.org","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Alluvial Channel Design,Documents_Design Theory_Analytical Design"
"Functional objectives for stream restoration","JC Fischenich","pdf","Fischenich, J. C. (2006). Functional objectives for stream restoration. ENGINEER RESEARCH AND DEVELOPMENT CENTER VICKSBURG MS.","https:\/\/erdc-library.erdc.dren.mil\/jspui\/bitstream\/11681\/3962\/1\/TN-EMRRP-SR-52.pdf",2006,"The National Research Council (1996) defined restoration as “the return of the form and function of an ecosystem to its predisturbance condition…” This definition presents two challenges when working in today’s environment.","USACE ERDC","erdc-library.erdc.dren.mil","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology"
"Function-based rapid stream assessment methodology","R Starr, W Harman, S Davis","pdf","Starr, R., W. Harman, S. Davis. 2015. FINAL DRAFT Function-Based Rapid Field Stream Assessment Methodology. U. S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, MD. CAFE S15-06.","https:\/\/stream-mechanics.com\/wp-content\/uploads\/2012\/01\/Rapid-Assessment-Methodology.pdf",2015,"The primary purpose of this methodology is to provide MDE regulators with a function-based rapid stream assessment methodology to verify existing and proposed stream function-based conditions submitted by stream restoration permit applicants. However, it can be used for a variety of other purposes.","USFWS CBFO","stream-mechanics.com","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology"
"Function-Based Stream Restoration Project Process Guidelines with Appendices","W Harman, R Starr, M Carter, K Tweedy, M Clemmons, K Suggs, C Miller","pdf","Harman, W., R. Starr, M. Carter, K. Tweedy, M. Clemmons, K. Suggs, C. Miller. 2012. A Function-Based Framework for Stream Assessment and Restoration Projects. US Environmental Protection Agency, Office of Wetlands, Oceans, and Watersheds, Washington, DC EPA 843-K-12-006.","https:\/\/www.epa.gov\/sites\/default\/files\/2015-08\/documents\/a_function_based_framework_for_stream_assessment_3.pdf",2015,"Stream restoration efforts have increased significantly in the US over the past few decades and are now recognized as a billion-dollar industry. These restoration efforts stem from centuries of abuse as humans continue to alter the riverine landscape for a variety of purposes, including farming, logging, mining and development on the floodplain, and the subsequent need for channelization and flood control. These activities have significantly diminished the natural functions of our stream corridors.","EPA","epa.gov","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology"
"Geomorphic Classification of Rivers","JM Buffington, DR Montgomery","pdf","Buffington, J. M., & Montgomery, D. R. (2013). Geomorphic classification of rivers. In: Shroder, J.; Wohl, E., ed. Treatise on Geomorphology; Fluvial Geomorphology, Vol. 9. San Diego, CA: Academic Press. p. 730-767., 730-767.","https:\/\/www.fs.usda.gov\/rm\/pubs_other\/rmrs_2013_buffington_j001.pdf",2013,"Channel classification is one tool that is used to address these needs. This chapter reviews the purposes of geomorphic channel classification, the different types of classifications that have been developed, and their use, compatibility, and popularity, and concludes with a look at future needs and directions for channel classification.","USFS","fs.usda.gov","Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology"
"Guidance for Stream Restoration","SE Yochum, LV Reynolds","book","Yochum, S. E., & Reynolds, L. V. (2018). Guidance for stream restoration. US Department of Agriculture, Forest Service, National Stream & Aquatic Ecology Center.","https:\/\/www.researchgate.net\/profile\/Steven-Yochum-2\/publication\/317413747_Guidance_for_Stream_Restoration_Version_5\/links\/5f57928592851c250b9d5d09\/Guidance-for-Stream-Restoration-Version-5.pdf",2020,"Stream restoration practitioners and researchers have devoted a great deal of effort in recent decades to developing extensive guidance for stream restoration. The available resources are diverse, reflecting the wide ranging approaches used and expertise required to develop effective stream restoration projects. To help practitioners in sorting through the extensive amount of available information, this technical note has been developed to provide a guide to the available guidance. The document structure is primarily a series of short literature reviews followed by a hyperlinked reference list for readers to find more information on each topic.","USFS NSAEC","researchgate.net","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Knowledge Base_Physico chemical,Documents_Knowledge Base_Biological Ecology,Documents_Knowledge Base_Social,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology,Documents_Design Theory_Hydraulic Geometry,Documents_Design Theory_Natural Channel Design,Documents_Design Theory_Stable ch design and Stabilization,Documents_Design Theory_Threshold channel design,Documents_Design Theory_Alluvial Channel Design,Documents_Design Theory_Analytical Design,Documents_Actions and Goals_Aesthetics Recreation Education,Documents_Actions and Goals_Bank Stabilization,Documents_Actions and Goals_Channel Reconfiguration,Documents_Actions and Goals_Dam removal retrofit,Documents_Actions and Goals_Aquatic organism passage,Documents_Actions and Goals_Floodplain Reconnection,Documents_Actions and Goals_Flow Modification,Documents_Actions and Goals_Instream Habitat Improvement,Documents_Actions and Goals_Instream Species Management,Documents_Actions and Goals_Riparian Management,Documents_Actions and Goals_Water Quality Management,Documents_Actions and Goals_Flood Risk Management,Documents_Actions and Goals_Navigation Channels,Documents_Actions and Goals_Large wood,Documents_Actions and Goals_Grade control,Documents_Actions and Goals_River training,Documents_Actions and Goals_Reservoir Operation,Documents_Actions and Goals_Beaver Dam Analog,Documents_Actions and Goals_Stage 0 Condition,Documents_Actions and Goals_In stream Structures"
"Guide for Selecting Manning's Roughness Coefficients (Cowan Methodology)","GJ Acrement, VR Schneider","pdf","Arcement, G. J., & Schneider, V. R. (1989). Guide for selecting Manning's roughness coefficients for natural channels and flood plains.","https:\/\/pubs.er.usgs.gov\/publication\/wsp2339",1989,"Although much research has been done on Manning's roughness coefficient, n, for stream channels, very little has been done concerning the roughness values for densely vegetated flood plains. The n value is determined from the values of the factors that affect the roughness of channels and flood plains. In densely vegetated flood plains, the major roughness is caused by trees, vines, and brush. The n value for this type of flood plain can be determined by measuring the vegetation density of the flood plain. Photographs of flood-plain segments where n values have been verified can be used as a comparison standard to aid in assigning n values to similar flood plains.","USGS","pubs.usgs.gov","Documents_Knowledge Base_Hydraulics,Documents_Evaluation_Hydraulics"
"Guide to Effective Monitoring of Aquatic and Riparian Resources","JL Kershner","pdf","Kershner, J. L. (2004). Guide to effective monitoring of aquatic and riparian resources. US Department of Agriculture, Forest Service, Rocky Mountain Research Station.","https:\/\/www.fs.usda.gov\/rm\/pubs\/rmrs_gtr121.pdf",2004,"This monitoring plan for aquatic and riparian resources was developed in response to monitoring needs addressed in the Biological Opinions for bull trout (U.S. Department of the Interior, Fish and Wildlife Service 1998) and steelhead (U.S. Department of Commerce, National Marine Fisheries Service). It provides a consistent framework for implementing the effectiveness monitoring of aquatic and riparian resources within the range of the Pacific Anadromous Fish Strategy (PACFISH) and the Inland Fish Strategy (INFISH). The primary objective is to evaluate the effect of land management activities on aquatic and riparian communities at multiple scales and to determine whether PACFISH\/INFISH management practices are effective in maintaining or improving the structure and function of riparian and aquatic conditions at both the landscape and watershed scales on Federal lands throughout the upper Columbia River Basin.","USFS","fs.usda.gov","Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology"
"Guidelines for determining flow frequency Bulletin 17C","JF England Jr, TA Cohn, BA Faber, JR Stedinger, WO Thomas, AG Veilleux","pdf","England, J. F., Cohn, T. A., Faber, B. A., Stedinger, J. R., Thomas, W. O., Veilleux, A. G., ... & Mason, R. R. (2019, May). Guidelines for Determining Flood Flow Frequency--Bulletin 17C (Ver. 1.1, May 2019): US Geological Survey Techniques and Methods, Book 4, Chap. B5. In United States. Department of the Interior; Geological Survey (US) (No. Techniques and Methods 4-B5). United States. Department of the Interior; Geological Survey (US).","https:\/\/pubs.er.usgs.gov\/publication\/tm4B5",2019,"Accurate estimates of flood frequency and magnitude are a key component of any effective nationwide flood risk management and flood damage abatement program. In addition to accuracy, methods for estimating flood risk must be uniformly and consistently applied because management of the Nation’s water and related land resources is a collaborative effort involving multiple actors including most levels of government and the private sector.","USGS","pubs.usgs.gov","Documents_Evaluation_Hydrology"
"Hydraulic Design of Stream Restoration Projects","RR Copeland, DN McComas, CR Thorne, PJ Soar, MM Jonas","pdf","Copeland, R. R., McComas, D. N., Thorne, C. R., Soar, P. J., & Jonas, M. M. (2001). Hydraulic design of stream restoration projects. ENGINEER RESEARCH AND DEVELOPMENT CENTER VICKSBURG MS COASTAL AND HYDRAULICSLAB.","https:\/\/erdc-library.erdc.dren.mil\/jspui\/handle\/11681\/7554",2001,"This document provides a systematic hydraulic design methodology to aid hydraulic engineers in the design of stream restoration projects. The objective is to achieve a channel design that fits into the natural system within the physical constraints imposed by other project objectives. In the Corps of Engineers, stream restoration projects are frequently associated with or part of a flood-control project. Thus, projects have more than one objective and compromises may be required to meet essential portions of each objective. The hydraulic design of a stream restoration project should provide for a channel that is in dynamic equilibrium with its sediment load. A sound stream restoration design incorporates techniques from both fluvial geomorphology and physics. The study area to which these techniques are applied must extend beyond the limits of the project site to the extent that both the project's effect on the stream system and the stream system's effect on the project reach can be determined.","USACE ERDC","erdc-library.erdc.dren.mil","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry,Documents_Design Theory_Stable ch design and Stabilization,Documents_Design Theory_Threshold channel design,Documents_Design Theory_Alluvial Channel Design,Documents_Design Theory_Analytical Design,Documents_Actions and Goals_Stormwater Management"
"Hyporheic Restoration in Streams and Rivers","ET Hester, MN Gooseff","pdf","Hester, E. T., & Gooseff, M. N. (2011). Hyporheic restoration in streams and rivers. Stream restoration in dynamic fluvial systems: Scientific approaches, analyses, and tools, 194, 167-187.","https:\/\/agupubs.onlinelibrary.wiley.com\/doi\/10.1029\/2010GM000966",2011,"The hyporheic zone is the area of mixing of surface and groundwater beneath and adjacent to streams and rivers. The unique physical, chemical, and biological properties of the hyporheic zone, often different from both surface water and deeper groundwater, create unique habitat for organisms. Exchange of water between surface water and the hyporheic zone additionally creates hyporheic functions such as nutrient processing, toxin mineralization, and thermal buffering, which benefit surface water ecosystems and humans","AGU","agupubs.onlinelibrary.wiley.com","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Knowledge Base_Physico chemical,Documents_Knowledge Base_Biological Ecology"
"Lane's Balance: The importance of fluvial morphology in hydraulic engineering","EW Lane","pdf","Lane, E. W. (1955). Importance of fluvial morphology in hydraulic engineering. Proceedings (American Society of Civil Engineers); v. 81, paper no. 745.","https:\/\/semspub.epa.gov\/work\/01\/554355.pdf",1955,"Fluvial morphology is particularly important to the hydraulic engineer as many of his greatest problems arise because of the form of streams brought about by the transportation and deposition of sediment by them. For the proper solution of these problems, a knowledge of the principles of fluvial morphology is often necessary. A.mong the problems in which fluvial morphology is a very important factor are many of those dealing with water resources development and include some of the most important river problems in the world.","EPA","epa.gov","Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology"
"Moving Beyond the Banks: Hyporheic Restoration Is Fundamental to Restoring Ecological Services and Functions of Streams","ET Hester, MN Gooseff","pdf","Hester, E. T., & Gooseff, M. N. (2010). Moving beyond the banks: Hyporheic restoration is fundamental to restoring ecological services and functions of streams.","https:\/\/pubs.acs.org\/doi\/10.1021\/es902988n",2010,"The hyporheic zone can be thought of as the foundation of a stream or river: it is the hydrologically connected region directly below the bed and extends beyond the banks. Exchange of water, nutrients, heat, and organisms between this subterranean zone and the water column above is crucial to the ecosystem's overall health. Therefore ecosystem restoration efforts that fail to take the hyporheic zone into account can fail to achieve their goals.","ACS","pubs.acs.org","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Knowledge Base_Physico chemical,Documents_Knowledge Base_Biological Ecology"
"National Large Wood Manual: Assessment, Planning, Design, and Maintenance of Large Wood in Fluvial Ecosystems: Restoring Process, Function, and Structure (USBR)","USBR, USACE","pdf","Bureau of Reclamation and U.S. Army Corps of Engineers. 2015. National Large Wood Manual: Assessment, Planning, Design, and Maintenance of Large Wood in Fluvial Ecosystems: Restoring Process, Function, and Structure. 628 pages + Appendix. Available: www.usbr.gov\/pn\/.","https:\/\/www.usbr.gov\/research\/projects\/detail.cfm?id=2754",2016,"This national manual provides a basic understanding of the role of wood in fluvial aquatic and riparian ecosystems and how it should be maintained, reintroduced, and\/or managed. It highlights the best available science, creative engineering, and policies associated with restoring wood in rivers and streams as well as underscores the significance of wood in fluvial ecosystems.","USBR","usbr.gov","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Actions and Goals_Bank Stabilization,Documents_Actions and Goals_Instream Habitat Improvement,Documents_Actions and Goals_Large wood,Documents_Actions and Goals_Grade control,Documents_Actions and Goals_River training,Documents_Actions and Goals_In stream Structures"
"National Stream and Aquatic Ecology Center","USFS","website","USFS NSAEC. 2022, January 3. National Stream & Aquatic Ecology Center Website. USDA USFA. https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2020,"The focus of the National Stream and Aquatic Ecology Center is on developing tools and science applications for the more effective management and conservation of watersheds, streams, riparian ecosystems, fisheries and aquatic ecosystems on National Forests and Grasslands.","USFS NSAEC","fs.usda.gov","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Actions and Goals_Bank Stabilization,Documents_Actions and Goals_Aquatic organism passage,Documents_Actions and Goals_Instream Habitat Improvement,Documents_Actions and Goals_Large wood,Documents_Actions and Goals_Grade control,Documents_Actions and Goals_River training,Documents_Actions and Goals_In stream Structures"
"Natural Channel Design Review Checklist","RR Starr","pdf","Starr, R. R. (2008). Natural Channel Design Review Checklist.","https:\/\/semspub.epa.gov\/work\/01\/554351.pdf",2016,"This document presents a brief description of the checklist items by the following sections: Watershed and Geomorphic Assessment, Preliminary Design, Final Design, and Maintenance and Monitoring Plans. The checklist only includes items that relate to creating a stable channel using natural channel design methodologies. Therefore, other restoration tasks such as permitting, flood studies, construction methods and documents, and other items not directly related to creating a stable channel design are not included in the checklist.","EPA","epa.gov","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Design Theory_Stable ch design and Stabilization"
