Assessment,Year,Metric ID,Metric Name,Performance Standard,Performance Standard Source,Method,Stratification,Source,Tier,Catchment hydrology,Surface water storage,Reach inflow,Flow duration,Flow alteration,Low flow dynamics,Baseflow dynamics,High flow dynamics,Floodplain connectivity,Hyporheic connectivity,Channel evolution,Lateral stability,Planform change,Sediment continuity,Large wood,Bed composition,Light and thermal regime,Carbon processing,Nutrient cycling,Water and soil quality,Habitat provision,Population support,Community dynamics,Watershed connectivity
Applachian HGM - Low Gradient,2017,Vlwd,Number down woody stems per 100 feet of stream,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,i,,,,D,i,,i,,,i,,,
Applachian HGM - Low Gradient,2017,Vtdbh,Average dbh of trees,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vtdensity,Average density of trees,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vcvalue,Average coefficient of conservatism of riparian species,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vforest,Average percent cover of forested area for Catchment,Yes,HGM,"Streamstats, GIS",Low Gradient,HGM,Screening,D,,,,,,,,,,,i,,,i,,,,,,,,,
QHEI,2006,,Substrate ,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
QHEI,2006,,Instream Cover,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,,,,D,D,,,,,D,,,
QHEI,2006,,Channel Morphology,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,D,,D,i,,D,,,,,i,,,
QHEI,2006,,Bank Erosion and Riparian Zone,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,D,,i,,,i,,,i,i,,,
QHEI,2006,,Pool/Glide and Riffle/Run Quality,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,D,D,,,i,,,,,,D,,,,,i,,,
QHEI,2006,,Gradient,Yes,QHEI,Visual,Stream Size,QHEI,Screening,,,,,,,,,,,i,i,i,i,,i,,,,,,,,
QHEI,2006,,Overall QHEI Score,Yes,QHEI,Visual,"DA (<20mi2,>20mi^2)",QHEI,Screening,,,,,,,,,,,,,,,,,,,,,,,,
EPA RBP HABITAT,2001,,Epifaunal Substrate,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,,,,,,D,,,,,D,,,
EPA RBP HABITAT,2001,,Embededness,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
EPA RBP HABITAT,2001,,Velocity Depth Regime,Yes,RBP,Visual,-,RBP,Screening,,,,,,i,D,,,,,,,,,,,,,,i,,,
EPA RBP HABITAT,2001,,Sediment Deposition,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,i,,,D,,D,,,,,,,,
EPA RBP HABITAT,2001,,Channel Flow Status,Yes,RBP,Visual,-,RBP,Screening,,,,D,,,,,,i,,,,,,,,,,,,,,
EPA RBP HABITAT,2001,,Channel Alteration,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,D,D,,,,,,,,,,,,
EPA RBP HABITAT,2001,,Frequency of Riffles,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,i,,,,,D,,,,,i,,,
EPA RBP HABITAT,2001,,Bank Stability (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,i,D,,i,,,,,,,,,,
EPA RBP HABITAT,2001,,Vegetative Protection (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,,D,i,,,,,,,,,,,
EPA RBP HABITAT,2001,,Riparian Vegetative Zone (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,,D,i,,,,,,,,,,,
SVAP 2,,,Channel condition,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
SVAP 2,,,Hydrologic Alteration,Yes,SVAP,Visual,-,SVAP,Screening,,,,,D,,,,,,,,,,,,,,,,,,,
SVAP 2,,,Bank Condition,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,D,,,,,,,,,,,,
SVAP 2,,,Riparian area quantity and quality,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
SVAP 2,,,Canopy cover,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,D,,,,i,,,
SVAP 2,,,Water appearance,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
SVAP 2,,,Nutrient enrichment,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,D,,,,,
SVAP 2,,,Manure or human waste presence,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
SVAP 2,,,Pools,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
SVAP 2,,,Barriers to aquatic species movement,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,,,,,D
SVAP 2,,,Fish habitat complexity,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
SVAP 2,,,Aquatic invertebrate habitat,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,D,,,
SVAP 2,,,Aquatic invertebrate community,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,D,,,
SVAP 2,,,Riffle embeddedness,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
SVAP 2,,,Salinity,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
STREAMSTATS,,LC11IMP,Percent impervious area,?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,i,i,,,,,,,,,,,,,,,,i,,,i,
STREAMSTATS,,LC92STOR,Percent of water and wetlands determined from NLCD,?,-,"Streamstats, GIS",-,Streamstats,Screening,,D,,i,,,,,,,,,,,,,,,,,,,,
STREAMSTATS,,LC11DEV,Percent developed (urban) in catchment from NLCD,?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,i,i,,,,,,,,,,,,,,,,,,,,
STREAMSTATS,,LFPLENGTH,Watershed slope (Change in elevation divided by length of points 10 and 85 percent),?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Bank Height Ratio,,,,,,Screening,,,,,,,i,i,D,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Channel Alteration,,,,,,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Channel Stability and Evolution,,,,,,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Instream substrate deposition and embeddedness,,,,,,Screening,,,,,,,,,,i,,,,,,D,,,,,,,,
UTOY CREEK MODEL,2024,,Bank Stability (LB & RB),,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Habitat and available cover,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Large wood,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Velocity Depth Regime,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Aquatic Organism Passage,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Material Transport,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,BEHI estimate,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Longitudinal bedform survey,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Hydraulic structures within reach,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Bankfull XS Area/Reference XS Area,,,,,,Rapid,,,,,,,,D,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Culvert Passage Rate,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,D
UTOY CREEK MODEL,2024,,Bankfull XS Vel/Reference XS Vel,,,,,,Rapid,,,,,,,i,D,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Hydrologic Flashiness,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,,Hydrologic attenenuation,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
OSAM,2024,,Bank Height Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,D,D,,,,,,,,,,,,,,,
OSAM,2024,,Entrenchment Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,D,D,,,,,,,,,,,,,,,
OSAM,2024,,Left Buffer Width (ft),Yes,OSAM,Measured,,,Rapid,,,,,,,,,,,,i,,,,,,,,,,,,
OSAM,2024,,Right Buffer Width (ft),Yes,OSAM,Measured,,,Rapid,,,,,,,,,,,,i,,,,,,,,,,,,
OSAM,2024,,Pool Spacing Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,,D,,,,,,,,
OSAM,2024,,% Riffle,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,,D,,,,,,,,
OSAM,2024,,LWD Frequency,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,D,i,,,,,,,,
HHEI,2024,,Stream channel modifications,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,D,i,,,,,,,,,,,,
HHEI,2024,,Substrate,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
HHEI,2024,,Max pool depth,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,,,,,,D,,,,,i,,,
HHEI,2024,,Bank full width,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,i,,,,,D,,,,,i,,,
HHEI,2024,,Riparian width,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
HHEI,2024,,Floodplain quality,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
HHEI,2024,,Flow regime,Yes,HHEI,Visual,,,Screening,i,,,,,D,D,,,,,,,,,,,,,,,,,i
HHEI,2024,,Sinuosity,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,D,,,,,,,,,,,
HHEI,2024,,Stream gradient estimate,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,i,i,i,i,,i,,,,,,,,
WV SWVM,2017,,RBP,Yes,SWVM,Visual,-,SWVM,,,,,,,,,,,,,,,,,,,,,,,,,
WV SWVM,2017,,Specific conductivity,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SWVM,2017,,pH,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SWVM,2017,,DO,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,i,D,D,,,,
WV SWVM,2017,,WV SCI 2001,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,,D,D,D,
WV SCI,2001,,Dissolved Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,
WV SCI,2001,,pH,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SCI,2001,,Conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SCI,2001,,Epifaunal substrate score,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,
WV SCI,2001,,channel alteration score,,,,,,,,,,,,,,,,,D,,,,,,,,,,i,,,
WV SCI,2001,,sediment deposition score,,,,,,,,,,,,,,,,,,,,D,,D,,,,,i,,,
WV SCI,2001,,bank disruptive pressure score,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
WV SCI,2001,,riparian zone vegetation width score,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
WV SCI,2001,,taxonomic richness,,,,,,,,,,,,,,,,,,,,,,,,,,,i,D,,
WV SCI,2001,,taxonomic composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
WV SCI,2001,,feeding groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
WV SCI,2001,,tolerance/intolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
SQT Catchment Assessment (NC),,,Concentrated Flow (Hydrology),,,,,,,,,D,,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),,,Impervious cover (Hydrology),,,,,,,D,,,i,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),,,Land Use Change  (Hydrology),,,,,,,D,,,,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),,,Distance to Roads (Hydrology),,,,,,,D,,i,i,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),,,Percent Forested (Hydrology),,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
SQT Catchment Assessment (NC),,,Riparian Vegetation (Geomorphology),,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
SQT Catchment Assessment (NC),,,Sediment Supply (Geomorphology),,,,,,,,,,,,,,,,,D,,,D,,,,,,,,,,
SQT Catchment Assessment (NC),,,Located on or downstream of a 303(d) listed stream TMDL list (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),,,Agricultural Land Use (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),,,NPDES Permits (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),,,Specific Conductance (uS/cm at 25oC) (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),,,Watershed impoundments  (Biology),,,,,,,,,,,i,,,,,,,,,,,,,,,,,,,D
SQT Catchment Assessment (NC),,,Organism Recruitment (Biology),,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,
SQT Catchment Assessment (NC),,,Percent of Catchment being Enhanced or Restored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i
Miscellaneous,,,SQT Catchment Assessment,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual inspection of land use,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual assessment of wetlands and runoff,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,"Visual obs of storage areas (e.g., wetlands)",,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Stream gauge data review,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Stream gauge data review,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual inspection of channel,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,,,Bank Height Ratio (1 pt),,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,,,Entrenchment Ratio (1 pt),,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,,,Visual seasonal flow observations,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Stream gauge data review,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual non-storm flow observations,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Miscellaneous,,,Stream gauge data review,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual observation during high flow events,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
Miscellaneous,,,Stream gauge data review,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
Miscellaneous,,,Visual application of Channel Evolution Model,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
Miscellaneous,,,Visual application of Rosgen Classification,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
Miscellaneous,,,Count visible debris from bank,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
Miscellaneous,,,Visual erosion assessment,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
Miscellaneous,,,Visual assessment of sediment transport,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,
Miscellaneous,,,Visual identification of substrate types,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
Miscellaneous,,,Visual inspection of bed forms,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
Miscellaneous,,,Aerial photography review,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,
Miscellaneous,,,Riparian shading observations,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,
Miscellaneous,,,"Visual observation of aeration, deficiencies",,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,,,Spot-checks of dissolved oxygen,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,,,Visual inspection of organic material,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,,,Visual turbidity assessments,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
Miscellaneous,,,"Visual observation of deficiencies (e.g., blooms)",,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,
Miscellaneous,,,Spot water quality tests,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
Miscellaneous,,,Visual fish and macroinvertebrate counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,
Miscellaneous,,,Habitat feature mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,
Miscellaneous,,,Visual species diversity counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
Miscellaneous,,,Visual EPT presence/frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
